data,valor,moeda
21/11/2025,5.3896,USD
24/11/2025,5.3942,USD
25/11/2025,5.3835,USD
26/11/2025,5.3688,USD
27/11/2025,5.3484,USD
28/11/2025,5.3332,USD
01/12/2025,5.3463,USD
02/12/2025,5.3459,USD
03/12/2025,5.3108,USD
04/12/2025,5.2946,USD
05/12/2025,5.3399,USD
08/12/2025,5.4243,USD
09/12/2025,5.4564,USD
10/12/2025,5.4650,USD
11/12/2025,5.4231,USD
12/12/2025,5.4005,USD
15/12/2025,5.3923,USD
16/12/2025,5.4499,USD
17/12/2025,5.5087,USD
18/12/2025,5.5277,USD
19/12/2025,5.5154,USD
22/12/2025,5.5383,USD
23/12/2025,5.5637,USD
24/12/2025,5.5342,USD
26/12/2025,5.5407,USD
29/12/2025,5.5733,USD
30/12/2025,5.5018,USD
31/12/2025,5.5018,USD
02/01/2026,5.4366,USD
05/01/2026,5.4345,USD
06/01/2026,5.3791,USD
07/01/2026,5.3874,USD
08/01/2026,5.3854,USD
09/01/2026,5.3701,USD
12/01/2026,5.3754,USD
13/01/2026,5.3758,USD
14/01/2026,5.3789,USD
15/01/2026,5.3840,USD
16/01/2026,5.3792,USD
19/01/2026,5.3647,USD
20/01/2026,5.3784,USD
21/01/2026,5.3362,USD
22/01/2026,5.3112,USD
23/01/2026,5.2872,USD
26/01/2026,5.2754,USD
27/01/2026,5.2386,USD
28/01/2026,5.1832,USD
29/01/2026,5.1950,USD
30/01/2026,5.2295,USD
02/02/2026,5.2581,USD
03/02/2026,5.2230,USD
04/02/2026,5.2353,USD
05/02/2026,5.2574,USD
06/02/2026,5.2335,USD
09/02/2026,5.1937,USD
10/02/2026,5.2015,USD
11/02/2026,5.1830,USD
12/02/2026,5.1668,USD
13/02/2026,5.2282,USD
18/02/2026,5.2343,USD
21/11/2025,6.2003000,EUR
24/11/2025,6.2202000,EUR
25/11/2025,6.2256000,EUR
26/11/2025,6.2237000,EUR
27/11/2025,6.2022000,EUR
28/11/2025,6.1915000,EUR
01/12/2025,6.2179000,EUR
02/12/2025,6.2057000,EUR
03/12/2025,6.1931000,EUR
04/12/2025,6.1816000,EUR
05/12/2025,6.2211000,EUR
08/12/2025,6.3064000,EUR
09/12/2025,6.3465000,EUR
10/12/2025,6.3636000,EUR
11/12/2025,6.3766000,EUR
12/12/2025,6.3404000,EUR
15/12/2025,6.3442000,EUR
16/12/2025,6.4158000,EUR
17/12/2025,6.4756000,EUR
18/12/2025,6.4836000,EUR
19/12/2025,6.4598000,EUR
22/12/2025,6.5165000,EUR
23/12/2025,6.5520000,EUR
24/12/2025,6.5236000,EUR
26/12/2025,6.5271000,EUR
29/12/2025,6.5594000,EUR
30/12/2025,6.4708000,EUR
31/12/2025,6.4692000,EUR
02/01/2026,6.3898000,EUR
05/01/2026,6.3618000,EUR
06/01/2026,6.2921000,EUR
07/01/2026,6.2991000,EUR
08/01/2026,6.2838000,EUR
09/01/2026,6.2526000,EUR
12/01/2026,6.2802000,EUR
13/01/2026,6.2651000,EUR
14/01/2026,6.2730000,EUR
15/01/2026,6.2478000,EUR
16/01/2026,6.2384000,EUR
19/01/2026,6.2457000,EUR
20/01/2026,6.3085000,EUR
21/01/2026,6.2451000,EUR
22/01/2026,6.2334000,EUR
23/01/2026,6.2180000,EUR
26/01/2026,6.2763000,EUR
27/01/2026,6.2619000,EUR
28/01/2026,6.1926000,EUR
29/01/2026,6.1984000,EUR
30/01/2026,6.2217000,EUR
02/02/2026,6.2016000,EUR
03/02/2026,6.1712000,EUR
04/02/2026,6.1768000,EUR
05/02/2026,6.2002000,EUR
06/02/2026,6.1867000,EUR
09/02/2026,6.1880000,EUR
10/02/2026,6.1983000,EUR
11/02/2026,6.1477000,EUR
12/02/2026,6.1425000,EUR
13/02/2026,6.1956000,EUR
18/02/2026,6.1746000,EUR
21/11/2025,7.05310,GBP
24/11/2025,7.06660,GBP
25/11/2025,7.09460,GBP
26/11/2025,7.10320,GBP
27/11/2025,7.08960,GBP
28/11/2025,7.06940,GBP
01/12/2025,7.08680,GBP
02/12/2025,7.05950,GBP
03/12/2025,7.08170,GBP
04/12/2025,7.08230,GBP
05/12/2025,7.12690,GBP
08/12/2025,7.22380,GBP
09/12/2025,7.25730,GBP
10/12/2025,7.28070,GBP
11/12/2025,7.28780,GBP
12/12/2025,7.21420,GBP
15/12/2025,7.22490,GBP
16/12/2025,7.31290,GBP
17/12/2025,7.38300,GBP
18/12/2025,7.40570,GBP
19/12/2025,7.37160,GBP
22/12/2025,7.45370,GBP
23/12/2025,7.50290,GBP
24/12/2025,7.47610,GBP
26/12/2025,7.48690,GBP
29/12/2025,7.52640,GBP
30/12/2025,7.41560,GBP
31/12/2025,7.41120,GBP
02/01/2026,7.33970,GBP
05/01/2026,7.33900,GBP
06/01/2026,7.26690,GBP
07/01/2026,7.26410,GBP
08/01/2026,7.24040,GBP
09/01/2026,7.20800,GBP
12/01/2026,7.24580,GBP
13/01/2026,7.22860,GBP
14/01/2026,7.23970,GBP
15/01/2026,7.20890,GBP
16/01/2026,7.19760,GBP
19/01/2026,7.20350,GBP
20/01/2026,7.24010,GBP
21/01/2026,7.16630,GBP
22/01/2026,7.16030,GBP
23/01/2026,7.17410,GBP
26/01/2026,7.23290,GBP
27/01/2026,7.20550,GBP
28/01/2026,7.14950,GBP
29/01/2026,7.15070,GBP
30/01/2026,7.17620,GBP
02/02/2026,7.16760,GBP
03/02/2026,7.15890,GBP
04/02/2026,7.15430,GBP
05/02/2026,7.11410,GBP
06/02/2026,7.12680,GBP
09/02/2026,7.10580,GBP
10/02/2026,7.11440,GBP
11/02/2026,7.06780,GBP
12/02/2026,7.05610,GBP
13/02/2026,7.11900,GBP
18/02/2026,7.07550,GBP
21/11/2025,0.0344400,JPY
24/11/2025,0.0344100,JPY
25/11/2025,0.0344800,JPY
26/11/2025,0.0343300,JPY
27/11/2025,0.0342200,JPY
28/11/2025,0.0341900,JPY
01/12/2025,0.0344700,JPY
02/12/2025,0.0343000,JPY
03/12/2025,0.0342200,JPY
04/12/2025,0.0342400,JPY
05/12/2025,0.0344000,JPY
08/12/2025,0.0348100,JPY
09/12/2025,0.0347900,JPY
10/12/2025,0.0349300,JPY
11/12/2025,0.0349600,JPY
12/12/2025,0.0346500,JPY
15/12/2025,0.0347600,JPY
16/12/2025,0.0352200,JPY
17/12/2025,0.0354500,JPY
18/12/2025,0.0355500,JPY
19/12/2025,0.0350300,JPY
22/12/2025,0.0352900,JPY
23/12/2025,0.0355800,JPY
24/12/2025,0.0354800,JPY
26/12/2025,0.0354300,JPY
29/12/2025,0.0357500,JPY
30/12/2025,0.0352000,JPY
31/12/2025,0.0351400,JPY
02/01/2026,0.0347200,JPY
05/01/2026,0.0347100,JPY
06/01/2026,0.0343600,JPY
07/01/2026,0.0343900,JPY
08/01/2026,0.0343400,JPY
09/01/2026,0.0340300,JPY
12/01/2026,0.0340300,JPY
13/01/2026,0.0338300,JPY
14/01/2026,0.0340200,JPY
15/01/2026,0.0339700,JPY
16/01/2026,0.0340400,JPY
19/01/2026,0.0339400,JPY
20/01/2026,0.0340600,JPY
21/01/2026,0.0337300,JPY
22/01/2026,0.0335400,JPY
23/01/2026,0.0334400,JPY
26/01/2026,0.0343100,JPY
27/01/2026,0.0341900,JPY
28/01/2026,0.0337800,JPY
29/01/2026,0.0340000,JPY
30/01/2026,0.0339200,JPY
02/02/2026,0.0337800,JPY
03/02/2026,0.0335500,JPY
04/02/2026,0.0334300,JPY
05/02/2026,0.0335300,JPY
06/02/2026,0.0333700,JPY
09/02/2026,0.0333300,JPY
10/02/2026,0.0337400,JPY
11/02/2026,0.0337500,JPY
12/02/2026,0.0338500,JPY
13/02/2026,0.0341500,JPY
18/02/2026,0.0338400,JPY
